Материнская плата Gigabyte H310M S2 ,3820, https://www.citilink.ru/product/materinskaya-plata-gigabyte-h310m-s2-2-0-lga-1151v2-intel-h310c-matx-r-1085074/ , https://cdn.citilink.ru/4m1Emm9ji69y0pGECKoYkL_ZqO1phfDwsm1C-QitlWw/fit/400/400/ce/false/plain/items/1085074_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel H310C|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH310C
Материнская плата ASUS PRIME H310M-R R2.0 ,3860, https://www.citilink.ru/product/materinskaya-plata-asus-prime-h310m-r-r2-0-lga-1151v2-intel-h310-matx-1107791/ , https://cdn.citilink.ru/GgSWoxoZg1EvOfcvYTEvdl1zZF9jCxsgQvdOORpz05c/fit/400/400/ce/false/plain/items/1107791_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel H310|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret (White Box)| ,IntelH310
Материнская плата ASROCK A320M-DVS R4.0 ,3890, https://www.citilink.ru/product/materinskaya-plata-asrock-a320m-dvs-r4-0-socketam4-amd-a320-matx-ret-1120710/ , https://cdn.citilink.ru/U2YWfAwiwoec5Nzs4La9ChcW_jVxY4ykB_HGFiHI4zY/fit/400/400/ce/false/plain/items/1120710_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A320|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA320
Материнская плата ASUS PRIME H310M-K R2.0 ,3890, https://www.citilink.ru/product/materinskaya-plata-asus-prime-h310m-k-r2-0-lga-1151v2-intel-h310-matx-1106386/ , https://cdn.citilink.ru/G95I59sJbmoDDNybdXEXDnUsoqkzj7Fuzp6S12VYh3A/fit/400/400/ce/false/plain/items/1106386_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel H310|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH310
Материнская плата ASROCK H310CM-HDV ,3890, https://www.citilink.ru/product/materinskaya-plata-asrock-h310cm-hdv-lga-1151v2-intel-h310c-matx-ret-1144610/ , https://cdn.citilink.ru/pmNbAVXvClBa7SHbXjcW-tGcfpcKLjaPipK6TSuYyLg/fit/400/400/ce/false/plain/items/1144610_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel H310C|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH310C
Материнская плата Gigabyte GA-A320M-S2H ,3990, https://www.citilink.ru/product/materinskaya-plata-gigabyte-ga-a320m-s2h-socketam4-amd-a320-matx-ret-1029346/ , https://cdn.citilink.ru/P-PQwM3HpGYNBA2QyNPKI4eSWit88QrYPlCf-VkgcKU/fit/400/400/ce/false/plain/items/1029346_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A320|Частотная спецификация памяти | 2667 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA320
Материнская плата Gigabyte GA-A320M-S2H V2 ,3990, https://www.citilink.ru/product/materinskaya-plata-gigabyte-ga-a320m-s2h-v2-socketam4-amd-b350-matx-re-1104810/ , https://cdn.citilink.ru/wcwV4HKyCtrhgy367Mu98Qoev8MwEU3mXS2mEuTCFOE/fit/400/400/ce/false/plain/items/1104810_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B350|Частотная спецификация памяти | 2667 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB350
Материнская плата ASROCK H310CM-DVS ,3990, https://www.citilink.ru/product/materinskaya-plata-asrock-h310cm-dvs-lga-1151v2-intel-h310c-matx-ret-1080835/ , https://cdn.citilink.ru/m_WZXE8BYLQOFMr5OCJ2WXxet9eMjKNBEtCjzbBa1RU/fit/400/400/ce/false/plain/items/1080835_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel H310C|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH310C
Материнская плата ASROCK A320M-HDV R4.0 ,3990, https://www.citilink.ru/product/materinskaya-plata-asrock-a320m-hdv-r4-0-socketam4-amd-a320-matx-ret-1146345/ , https://cdn.citilink.ru/AuCsh-qMdcL_nnwrnTdLqastPwfkGVZZFcq7oc1qNqY/fit/400/400/ce/false/plain/items/1146345_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A320|Частотная спецификация памяти | 2667 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA320
Материнская плата Gigabyte B550M S2H(восстановленный) ,4110, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b550m-s2h-socketam4-amd-b550-matx-ret-voss-M00216842/ , https://cdn.citilink.ru/KbytR38gTXESL_S-7VNev7WrUNTBQeHzW1rRjL5f0Dk/fit/400/400/ce/false/plain/items/1403106_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B550|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB550
