Материнская плата ASUS PRIME B365M-A ,5590, https://www.citilink.ru/product/materinskaya-plata-asus-prime-b365m-a-lga-1151v2-intel-b365-matx-ret-1136626/ , https://cdn.citilink.ru/Rql6Akln_2gr8SlGjixgXPlqupsR_v6873VjyPFuXx0/fit/400/400/ce/false/plain/items/1136626_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel B365|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,IntelB365
Материнская плата ASROCK B450M PRO4-F ,5590, https://www.citilink.ru/product/materinskaya-plata-asrock-b450m-pro4-f-socketam4-amd-b450-matx-ret-1138649/ , https://cdn.citilink.ru/1V21eYqN0b403bxmVGB1up0GzINmyEb5DSDg7zu9sws/fit/400/400/ce/false/plain/items/1138649_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB450
Материнская плата ASROCK B450M PRO4-F R2.0 ,5590, https://www.citilink.ru/product/materinskaya-plata-asrock-b450m-pro4-f-r2-0-soc-am4-amd-b450-4xddr4-ma-1550999/ , https://cdn.citilink.ru/y8bqMJzXDdxgjp4s344uVJ-CtbK0uIy8_25Tjj0ff6o/fit/400/400/ce/false/plain/items/1550999_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB450
Материнская плата ASUS PRIME H510M-R-SI ,5590, https://www.citilink.ru/product/materinskaya-plata-asus-prime-h510m-r-si-soc-1200-intel-h510-2xddr4-ma-1578614/ , https://cdn.citilink.ru/XT2sCM3J7TvslpLrVyZYp71OfJ4Fc0wg4TSGPtnV1a0/fit/400/400/ce/false/plain/items/1578614_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H510|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret (White Box)| ,IntelH510
Материнская плата ASUS PRIME B450M-A II ,5670, https://www.citilink.ru/product/materinskaya-plata-asus-prime-b450m-a-ii-socketam4-amd-b450-matx-ret-1425682/ , https://cdn.citilink.ru/NcSYl2-iAQKCFQTyND2K9SuHsY7LTvbOr6DPdXOKc1Q/fit/400/400/ce/false/plain/items/1425682_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB450
Материнская плата Gigabyte H410M S2 V2 ,5690, https://www.citilink.ru/product/materinskaya-plata-gigabyte-h410m-s2-v2-soc-1200-intel-h470-2xddr4-mat-1507845/ , https://cdn.citilink.ru/mQGMoeQihDpkpNBvqJXi0kI6bRg0nAlADu39ibhiA_Y/fit/400/400/ce/false/plain/items/1507845_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H470|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH470
Материнская плата ASUS PRIME H510M-K ,5690, https://www.citilink.ru/product/materinskaya-plata-asus-prime-h510m-k-soc-1200-intel-h510-2xddr4-matx-1498864/ , https://cdn.citilink.ru/OXQ-FEKdQ7zX9D9CoCYvUseTf0kkgaiqBDKEQFBbmzg/fit/400/400/ce/false/plain/items/1498864_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H510|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH510
Материнская плата MSI H510M-A PRO ,5690, https://www.citilink.ru/product/materinskaya-plata-msi-h510m-a-pro-soc-1200-intel-h510-2xddr4-matx-ac-1564800/ , https://cdn.citilink.ru/xmoZhn3O_IYC58hJn0B5PbOVtHG1DVnMoXEWXzfqDio/fit/400/400/ce/false/plain/items/1564800_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H510|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH510
Материнская плата MSI H510M PRO-E ,5690, https://www.citilink.ru/product/materinskaya-plata-msi-h510m-pro-e-soc-1200-intel-h510-2xddr4-matx-ac-1602238/ , https://cdn.citilink.ru/1ZD4z0viCsY1DlBdniN8dtG-gE9L8BAF7Z0V6nrTJoI/fit/400/400/ce/false/plain/items/1602238_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H510|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH510
Материнская плата ASROCK B450M PRO4 ,5790, https://www.citilink.ru/product/materinskaya-plata-asrock-b450m-pro4-socketam4-amd-b450-matx-ret-1080832/ , https://cdn.citilink.ru/cU4NSYnZh8FL0zH70rUaD9su5FpMozvxSg3jAjiUV9c/fit/400/400/ce/false/plain/items/1080832_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB450
Материнская плата Gigabyte H510M H ,5790, https://www.citilink.ru/product/materinskaya-plata-gigabyte-h510m-h-soc-1200-intel-h510-2xddr4-matx-ac-1507912/ , https://cdn.citilink.ru/03J8-BMH6Uf2GW9crGiF-r-tc4PUNA8giFcmjhAbvvc/fit/400/400/ce/false/plain/items/1507912_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H510|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH510
Материнская плата ASROCK B450M PRO4 R2.0 ,5790, https://www.citilink.ru/product/materinskaya-plata-asrock-b450m-pro4-r2-0-soc-am4-amd-b450-4xddr4-matx-1589393/ , https://cdn.citilink.ru/rYClVmgi-0a3Zm-ZjUbF9jND1xBu0-LbbJwbaNdVIao/fit/400/400/ce/false/plain/items/1589393_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB450
Материнская плата ASROCK H510M-HDV ,5790, https://www.citilink.ru/product/materinskaya-plata-asrock-h510m-hdv-soc-1200-intel-h510-2xddr4-matx-ac-1490703/ , https://cdn.citilink.ru/IyQUSSvHvsQUD1zhm3Zk_iwIW3UfRJs6MDDHzKUnCQE/fit/400/400/ce/false/plain/items/1490703_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H510|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH510
Материнская плата ASUS PRIME A320M-E ,5790, https://www.citilink.ru/product/materinskaya-plata-asus-prime-a320m-e-socketam4-amd-a320-matx-ret-1087844/ , https://cdn.citilink.ru/SkPFWaFGglxuUYqaH3ZN_XacRyL4x36NTiMPbQDx1CI/fit/400/400/ce/false/plain/items/1087844_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A320|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA320
"Материнская плата ASROCK B560 PRO4, LGA 1200, Intel B560, ATX, Ret(Б/У) ",5820, https://www.citilink.ru/product/materinskaya-plata-asrock-b560-pro4-lga-1200-intel-b560-atx-ret-b-u-M00215965/ , https://cdn.citilink.ru/ZKxat-75TEkapsTlKO2vYlrE3Os8ac5YRBJKNfJNcYs/fit/400/400/ce/false/plain/items/1478002_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel B560|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 4|Форм-фактор | ATX|Тип поставки | Ret| ,IntelB560
Материнская плата ASROCK B365M PRO4-F ,5860, https://www.citilink.ru/product/materinskaya-plata-asrock-b365m-pro4-f-lga-1151v2-intel-b365-matx-ret-1207983/ , https://cdn.citilink.ru/RoJW0xDY0c8A7t6jZCwIxptcJ3T6eP9BFEG5i13HewQ/fit/400/400/ce/false/plain/items/1207983_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel B365|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,IntelB365
Материнская плата ASUS PRIME H310M-C R2.0 ,5860, https://www.citilink.ru/product/materinskaya-plata-asus-prime-h310m-c-r2-0-lga-1151v2-intel-h310c-matx-1140439/ , https://cdn.citilink.ru/dGMOdJeSio4imd_pfQisgcZvNhqaP0z3Ta0ngIpe5rI/fit/400/400/ce/false/plain/items/1140439_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel H310C|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH310C
Материнская плата ASUS PRIME H310M-E R2.0 ,5870, https://www.citilink.ru/product/materinskaya-plata-asus-prime-h310m-e-r2-0-lga-1151v2-intel-h310c-matx-1132792/ , https://cdn.citilink.ru/5brP2bh6Gw4MEEM1CIDjXsjdN1dwIfhgvN7gYiXvzKg/fit/400/400/ce/false/plain/items/1132792_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel H310C|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH310C
Материнская плата MSI B450M PRO-VDH MAX ,5890, https://www.citilink.ru/product/materinskaya-plata-msi-b450m-pro-vdh-max-socketam4-amd-b450-matx-ret-1208000/ , https://cdn.citilink.ru/o2MzTHxhtOwdz092jlA1TZAhw7GtiIE0sMdoeo63_sg/fit/400/400/ce/false/plain/items/1208000_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Частотная спецификация памяти | 2667 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB450
Материнская плата Gigabyte B365M DS3H ,5890, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b365m-ds3h-lga-1151v2-intel-b365-matx-ret-1146340/ , https://cdn.citilink.ru/P3C4Vhpz75PmBIJc2rXYOBEhlS7xJJP-K_dE5Wnid3k/fit/400/400/ce/false/plain/items/1146340_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel B365|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,IntelB365
Материнская плата Gigabyte B365M HD3 ,5920, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b365m-hd3-lga-1151v2-intel-b365-matx-ret-1165859/ , https://cdn.citilink.ru/G8wuXvaBEqxS2BEcGNut75jDhCpgcAu6B4lNPppWbIg/fit/400/400/ce/false/plain/items/1165859_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel B365|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelB365
Материнская плата ASUS PRIME H410M-K ,5990, https://www.citilink.ru/product/materinskaya-plata-asus-prime-h410m-k-soc-1200-intel-h410-2xddr4-matx-1387916/ , https://cdn.citilink.ru/vCn1xJHKgv6WbpQbP4FwLIY86C1hNVstjLR3rEXvIQs/fit/400/400/ce/false/plain/items/1387916_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H410|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH410
Материнская плата MSI H410M PRO-VH ,5990, https://www.citilink.ru/product/materinskaya-plata-msi-h410m-pro-vh-soc-1200-intel-h410-2xddr4-matx-ac-1536740/ , https://cdn.citilink.ru/-4kJ8K-FEwLa2sx_Dxr3zmyxwUrMub_Evt_DVqugFxM/fit/400/400/ce/false/plain/items/1536740_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H410|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH410
Материнская плата ASROCK H410M-HVS R2.0 ,5990, https://www.citilink.ru/product/materinskaya-plata-asrock-h410m-hvs-r2-0-lga-1200-intel-h410-matx-ret-1474272/ , https://cdn.citilink.ru/RroTNEyV56K7JE8kaNbYQgC7J-qX6CCA4wsYK4msrSc/fit/400/400/ce/false/plain/items/1474272_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H410|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH410
Материнская плата Gigabyte H410M S2H ,6020, https://www.citilink.ru/product/materinskaya-plata-gigabyte-h410m-s2h-lga-1200-intel-h410-matx-ret-1399207/ , https://cdn.citilink.ru/vI5gtuNr1fqG4g1E9AJdCLIN1IAlpqYAUftTZssxBAM/fit/400/400/ce/false/plain/items/1399207_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H410|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH410
Материнская плата ASUS PRIME H310M-D R2.0 ,6080, https://www.citilink.ru/product/materinskaya-plata-asus-prime-h310m-d-r2-0-lga-1151v2-intel-h310c-matx-1146319/ , https://cdn.citilink.ru/ltUxpKy9Ce6fPew7V4I9xdM6FhY_MX-_n5lNvhqDxkE/fit/400/400/ce/false/plain/items/1146319_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel H310C|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH310C
Материнская плата Gigabyte H510M S2H ,6090, https://www.citilink.ru/product/materinskaya-plata-gigabyte-h510m-s2h-soc-1200-intel-h510-2xddr4-matx-1513638/ , https://cdn.citilink.ru/aTI1tZ8np4F8C6VEaXYV0a7T13RvQ3m9RVSfkqT3i8M/fit/400/400/ce/false/plain/items/1513638_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H510|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH510
Материнская плата MSI B550M PRO(плохая упаковка) ,6110, https://www.citilink.ru/product/materinskaya-plata-msi-b550m-pro-soc-am4-amd-b550-2xddr4-matx-ac-97-8c-1644030/ , https://cdn.citilink.ru/1ebo0tVd4DmEokC2GLNY6iFUT2LW1J7z_HPsqVruttw/fit/400/400/ce/false/plain/items/1455654_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B550|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB550
Материнская плата Gigabyte B460M GAMING HD ,6170, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b460m-gaming-hd-soc-1200-intel-b460-2xddr4-1403572/ , https://cdn.citilink.ru/yxHOFfm5hTXO0stLa-rDz0HWi_fGIUpA1DsOaLWPv00/fit/400/400/ce/false/plain/items/1403572_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel B460|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelB460
Материнская плата ASUS PRIME A320M-C R2.0 ,6180, https://www.citilink.ru/product/materinskaya-plata-asus-prime-a320m-c-r2-0-socketam4-amd-a320-matx-ret-1083553/ , https://cdn.citilink.ru/0nHl_8jE4OYoXgQTi1-BI-wZmAJzVtYExvvck4Qb_5k/fit/400/400/ce/false/plain/items/1083553_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A320|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA320
Материнская плата ASUS PRIME H410M-R-SI ,6190, https://www.citilink.ru/product/materinskaya-plata-asus-prime-h410m-r-si-soc-1200-intel-h410-2xddr4-ma-1413106/ , https://cdn.citilink.ru/EvbOrYEVxeP-DDZnkghPDEtwIcN2MfUMCOFV-1HB3K0/fit/400/400/ce/false/plain/items/1413106_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H410|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret (White Box)| ,IntelH410
Материнская плата Gigabyte H510M S2H V2 ,6190, https://www.citilink.ru/product/materinskaya-plata-gigabyte-h510m-s2h-v2-soc-1200-intel-h510-2xddr4-ma-1544765/ , https://cdn.citilink.ru/Sxx0W93CGDEOSxaTrEYs_SgDx6kSwenXa6DcuRqqOVE/fit/400/400/ce/false/plain/items/1544765_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H510|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH510
Материнская плата Gigabyte B450M GAMING ,6190, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450m-gaming-socketam4-amd-b450-matx-ret-1102377/ , https://cdn.citilink.ru/ybMyk_OyXfnCjhbzIg4JNHQ8tKUwV9r5-LMnjDATh84/fit/400/400/ce/false/plain/items/1102377_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB450
Материнская плата ASUS PRIME A520M-E ,6190, https://www.citilink.ru/product/materinskaya-plata-asus-prime-a520m-e-soc-am4-amd-a520-2xddr4-matx-ac-1408140/ , https://cdn.citilink.ru/a1eslYYH166hRFbS0zsM8eKbJvIoJjFhwpX9ub-kPfY/fit/400/400/ce/false/plain/items/1408140_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A520|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA520
Материнская плата ASUS PRIME H410M-K R2.0 ,6190, https://www.citilink.ru/product/materinskaya-plata-asus-prime-h410m-k-r2-0-soc-1200-intel-h470-2xddr4-1616247/ , https://cdn.citilink.ru/lLNtuDep8Ieb_rzTdM6qexF4irw1UHJtUc3ANQXOrxs/fit/400/400/ce/false/plain/items/1616247_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H470|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH470
Материнская плата Gigabyte H310M D3H ,6200, https://www.citilink.ru/product/materinskaya-plata-gigabyte-h310m-d3h-lga-1151v2-intel-h310-matx-ret-1152202/ , https://cdn.citilink.ru/zTE43haQF8j0O_vqKNMxmgp730Pc81e0b0NAdhcgg-U/fit/400/400/ce/false/plain/items/1152202_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel H310|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH310
Материнская плата ASUS PRIME A320M-A ,6200, https://www.citilink.ru/product/materinskaya-plata-asus-prime-a320m-a-socketam4-amd-a320-matx-ret-490212/ , https://cdn.citilink.ru/EnIr72H_bESmXlUPb0y4KQCdgyX3A5yHMacqZ2kJa4s/fit/400/400/ce/false/plain/items/490212_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A320|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA320
Материнская плата ASUS TUF B450M-PRO GAMING ,6290, https://www.citilink.ru/product/materinskaya-plata-asus-tuf-b450m-pro-gaming-socketam4-amd-b450-matx-r-1100960/ , https://cdn.citilink.ru/t5fnZmssDqrmnDeawDklNyXHUkZ9M8p-dD-ANYoD5MI/fit/400/400/ce/false/plain/items/1100960_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB450
Материнская плата ASROCK H410M-HDV R2.0 ,6290, https://www.citilink.ru/product/materinskaya-plata-asrock-h410m-hdv-r2-0-lga-1200-intel-h410-matx-ret-1472189/ , https://cdn.citilink.ru/XkDBPtH90BhKh_B5ZO1Bh95WBbr0zba01utKsDhF7KA/fit/400/400/ce/false/plain/items/1472189_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H410|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH410
Материнская плата ASUS PRIME B450-PLUS ,6370, https://www.citilink.ru/product/materinskaya-plata-asus-prime-b450-plus-socketam4-amd-b450-atx-ret-1083557/ , https://cdn.citilink.ru/3FKdkaQelNZBrym1L8PWu0yrlGjHK1VPkk5g-oxDOyA/fit/400/400/ce/false/plain/items/1083557_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 4|Форм-фактор | ATX|Тип поставки | Ret| ,AMDB450
Материнская плата ASROCK B550M-HDV ,6410, https://www.citilink.ru/product/materinskaya-plata-asrock-b550m-hdv-soc-am4-amd-b550-2xddr4-matx-ac-97-1395306/ , https://cdn.citilink.ru/6QKCzSwfK_NyGKAVbhvq0DfX294IRO6nEryWcPnuoVE/fit/400/400/ce/false/plain/items/1395306_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B550|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB550
Материнская плата ASROCK H470M-HDV/M.2 ,6490, https://www.citilink.ru/product/materinskaya-plata-asrock-h470m-hdv-m-2-soc-1200-intel-h470-2xddr4-mat-1485307/ , https://cdn.citilink.ru/ZYvOByUaZngQpvA2tGaBKz3BntsJDti-VzTdrEMlAeY/fit/400/400/ce/false/plain/items/1485307_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H470|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH470
Материнская плата ASROCK B550 PRO4(восстановленный) ,6500, https://www.citilink.ru/product/materinskaya-plata-asrock-b550-pro4-socketam4-amd-b550-atx-ret-vosstan-M00215734/ , https://cdn.citilink.ru/_l5zCCNud7H6g_m-BIZ2tlT9QAk9Bsl2rW5yYYmkXj4/fit/400/400/ce/false/plain/items/1395302_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B550|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 4|Форм-фактор | ATX|Тип поставки | Ret| ,AMDB550
Материнская плата ASROCK B450 PRO4 R2.0 ,6590, https://www.citilink.ru/product/materinskaya-plata-asrock-b450-pro4-r2-0-soc-am4-amd-b450-4xddr4-atx-a-1485318/ , https://cdn.citilink.ru/BVbZ1tjuwR1G8qTDcAQJlT3BasDj40XyyMrC_OdP1ZY/fit/400/400/ce/false/plain/items/1485318_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 4|Форм-фактор | ATX|Тип поставки | Ret| ,AMDB450
Материнская плата Gigabyte B450 GAMING X ,6680, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450-gaming-x-socketam4-amd-b450-atx-ret-1144485/ , https://cdn.citilink.ru/NzZ2dvKe3PzMofwWGMcNaGPz-zh1TcpUFillmxx937k/fit/400/400/ce/false/plain/items/1144485_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 4|Форм-фактор | ATX|Тип поставки | Ret| ,AMDB450
Материнская плата ASUS PRIME H410M-E ,6690, https://www.citilink.ru/product/materinskaya-plata-asus-prime-h410m-e-soc-1200-intel-h410-2xddr4-atx-a-1379728/ , https://cdn.citilink.ru/kGIWhc505_f0y2fkeixVzyte5FdsCh5BGn-SUxO3kwc/fit/400/400/ce/false/plain/items/1379728_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H410|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH410
Материнская плата Gigabyte B550M S2H ,6700, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b550m-s2h-soc-am4-amd-b550-2xddr4-matx-ac-1403106/ , https://cdn.citilink.ru/KbytR38gTXESL_S-7VNev7WrUNTBQeHzW1rRjL5f0Dk/fit/400/400/ce/false/plain/items/1403106_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B550|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB550
Материнская плата MSI B550M PRO ,6780, https://www.citilink.ru/product/materinskaya-plata-msi-b550m-pro-socketam4-amd-b550-matx-ret-1455654/ , https://cdn.citilink.ru/1ebo0tVd4DmEokC2GLNY6iFUT2LW1J7z_HPsqVruttw/fit/400/400/ce/false/plain/items/1455654_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B550|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB550
Материнская плата ASUS PRIME H510M-D ,6790, https://www.citilink.ru/product/materinskaya-plata-asus-prime-h510m-d-soc-1200-intel-h510-2xddr4-matx-1495235/ , https://cdn.citilink.ru/GXQD_aXrg_5rF9VlUEu6bRDQdAaWUgHdcCsJ7kYKiiY/fit/400/400/ce/false/plain/items/1495235_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H510|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH510
Материнская плата ASROCK H510M-HDV/M.2 ,6810, https://www.citilink.ru/product/materinskaya-plata-asrock-h510m-hdv-m-2-soc-1200-intel-h510-2xddr4-mat-1490708/ , https://cdn.citilink.ru/gS9mvJEcOa-yhaRHDqNYAgLeFvPxzw3QbqggpSJmjS0/fit/400/400/ce/false/plain/items/1490708_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H510|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH510
Материнская плата ASROCK A520M PRO4 ,6810, https://www.citilink.ru/product/materinskaya-plata-asrock-a520m-pro4-socketam4-amd-a520-matx-ret-1423069/ , https://cdn.citilink.ru/5b81aB_nSsTANX2BDkNrbimAaMr5JYWJTiFmAwdxkmw/fit/400/400/ce/false/plain/items/1423069_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A520|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA520
